"","x"
"codex_357",2194
"codex_358",21091
"codex_359",10139
"codex_360",7856
"codex_361",3298
"codex_362",3621
"codex_363",4459
"codex_364",5296
"codex_365",4175
"codex_366",5279
"codex_367",2552
"codex_368",6042
"codex_369",11702
"codex_370",14388
"codex_371",14893
"codex_372",9078
"codex_373",12962
"codex_374",10851
"codex_375",12258
"codex_376",5057
"codex_377",1718
"codex_378",4366
"codex_379",12588
"codex_380",11356
"codex_381",7902
"codex_382",18106
"codex_383",1595
"codex_384",7349
"codex_385",3352
"codex_386",1351
"codex_387",8922
"codex_388",31271
"codex_389",8196
"codex_390",9567
"codex_391",17723
"codex_392",5376
"codex_393",11558
"codex_394",17446
"codex_395",15261
"codex_396",5612
"codex_397",4799
"codex_398",10694
"codex_399",3154
"codex_400",13181
"codex_401",9578
"codex_402",1616
"codex_403",1332
"codex_404",3346
"codex_405",4388
"codex_406",4053
"codex_407",12438
"codex_408",13026
"codex_409",4986
"codex_410",10217
"codex_411",4237
"codex_412",10729
"codex_413",13122
"codex_414",3214
"codex_415",4009
"codex_416",5890
"codex_417",7727
"codex_418",591
"codex_419",12891
"codex_420",13256
"codex_421",9965
"codex_422",11793
"codex_423",2444
"codex_424",4062
"codex_425",15941
"codex_426",6599
"codex_427",9166
"codex_428",8834
"codex_429",2947
"codex_430",11845
"codex_431",1648
"codex_432",23256
"codex_433",5117
"codex_434",21164
"codex_435",15938
"codex_436",10805
"codex_437",14377
"codex_438",2255
"codex_439",11097
"codex_440",6129
"codex_441",3737
"codex_442",15573
"codex_443",4526
"codex_444",3531
"codex_445",23063
"codex_446",2647
"codex_447",5011
"codex_448",11769
"codex_449",5669
"codex_450",5716
"codex_451",2943
"codex_452",14293
"codex_453",3460
"codex_454",4566
"codex_455",9480
"codex_456",6024
"codex_457",13343
"codex_458",7047
"codex_459",8970
"codex_460",8150
"codex_461",17778
"codex_462",2561
"codex_463",12557
"codex_464",5716
"codex_465",14632
"codex_466",997
"codex_467",3834
"codex_468",15008
"codex_469",3928
"codex_470",1808
"codex_471",1025
"codex_472",10530
"codex_473",13502
"codex_474",16484
"codex_475",1056
"codex_476",9272
"codex_477",3224
"codex_478",18447
"codex_479",1699
"codex_480",14078
"codex_481",21627
"codex_482",10138
"codex_483",16825
"codex_484",10131
"codex_485",3297
"codex_486",1022
"codex_487",10907
"codex_488",6733
"codex_489",12282
"codex_490",1704
"codex_491",4256
"codex_492",6649
"codex_493",12949
"codex_494",18100
"codex_495",18553
"codex_496",3645
"codex_497",17671
"codex_498",4038
"codex_499",7080
"codex_500",14792
"codex_501",14436
"codex_502",13566
"codex_503",1423
"codex_504",10439
"codex_505",12152
"codex_506",8017
"codex_507",17926
"codex_508",17642
"codex_509",17446
"codex_510",5988
"codex_511",17705
"codex_512",5579
"codex_513",13676
"codex_514",12191
"codex_515",9145
"codex_516",7635
"codex_517",17374
"codex_518",10553
"codex_519",4227
"codex_520",540
"codex_521",9282
"codex_522",8548
"codex_523",13215
"codex_524",1279
"codex_525",11361
"codex_526",9667
"codex_527",1650
"codex_528",16343
"codex_529",10501
"codex_530",12653
"codex_531",5951
"codex_532",12155
"codex_533",2472
"codex_534",4812
"codex_535",3048
"codex_536",15834
"codex_537",1679
"codex_538",3005
"codex_539",5802
"codex_540",9641
"codex_541",13172
"codex_542",9534
"codex_543",5300
"codex_544",5256
"codex_545",10892
"codex_546",11154
"codex_547",12025
"codex_548",2803
"codex_549",9278
"codex_550",10960
"codex_551",18610
"codex_552",7003
"codex_553",3644
"codex_554",4062
"codex_555",4011
"codex_556",9598
"codex_557",21284
"codex_558",13415
"codex_559",4776
"codex_560",19325
"codex_561",8274
"codex_562",12114
"codex_563",10708
"codex_564",1487
"codex_565",8549
"codex_566",23811
"codex_567",2837
"codex_568",1884
"codex_569",7615
"codex_570",12671
"codex_571",9072
"codex_572",3570
"codex_573",5681
"codex_574",4086
"codex_575",4882
"codex_576",26900
"codex_577",865
"codex_578",10414
"codex_579",9048
"codex_580",2760
"codex_581",3029
"codex_582",9909
"codex_583",28134
"codex_584",7013
"codex_585",3052
"codex_586",7134
"codex_587",4195
"codex_588",15713
"codex_589",7928
"codex_590",7520
"codex_591",6720
"codex_592",36
"codex_593",9952
"codex_594",2050
"codex_595",8204
"codex_596",1657
"codex_597",6382
"codex_598",6802
"codex_599",6648
"codex_600",10963
"codex_601",9928
"codex_602",7121
"codex_603",9440
"codex_604",14022
"codex_605",3846
"codex_606",11615
"codex_607",6867
"codex_608",4816
"codex_609",8901
"codex_610",4291
"codex_611",9906
"codex_612",22321
"codex_613",2958
"codex_614",19100
"codex_615",14458
"codex_616",11441
"codex_617",7127
"codex_618",9223
"codex_619",9799
"codex_620",4588
"codex_621",9639
"codex_622",8285
"codex_623",15466
"codex_624",2063
"codex_625",2464
"codex_626",13209
"codex_627",3310
"codex_628",11364
"codex_629",1147
"codex_630",18979
"codex_631",11956
"codex_632",1491
"codex_633",10366
"codex_634",3537
"codex_635",2857
"codex_636",18463
"codex_637",5128
"codex_638",10657
"codex_639",8133
"codex_640",9372
"codex_641",8242
"codex_642",10407
"codex_643",10356
"codex_644",4594
"codex_645",4385
"codex_646",9494
"codex_647",15554
"codex_648",4439
"codex_649",16102
"codex_650",5572
"codex_651",5704
"codex_652",4500
"codex_653",29532
"codex_654",6130
"codex_655",16932
"codex_656",11799
"codex_657",19096
"codex_658",4103
"codex_659",2198
"codex_660",16653
"codex_661",8232
"codex_662",9727
"codex_663",4829
"codex_664",5435
"codex_665",1463
"codex_666",11220
"codex_667",7597
"codex_668",9769
"codex_669",3759
"codex_670",11055
"codex_671",280
"codex_672",6587
"codex_673",11027
"codex_674",997
"codex_675",14042
"codex_676",12950
"codex_677",11441
"codex_678",9355
"codex_679",1961
"codex_680",10677
"codex_681",13843
"codex_682",5451
"codex_683",1277
"codex_684",3185
"codex_685",9788
"codex_686",3036
"codex_687",3655
"codex_688",15017
"codex_689",18810
"codex_690",8232
"codex_691",676
"codex_692",5865
"codex_693",13707
"codex_694",6615
"codex_695",16897
"codex_696",10514
"codex_697",5107
"codex_698",12887
"codex_699",1437
"codex_700",17121
"codex_701",10613
"codex_702",7841
"codex_703",3217
"codex_704",3322
"codex_705",11947
"codex_706",7511
"codex_707",12440
"codex_708",10588
"codex_709",2893
"codex_710",11872
"codex_711",8672
"codex_712",12630
"codex_713",2543
"codex_714",11274
"codex_715",3151
"codex_716",1281
"codex_717",7609
"codex_718",9363
"codex_719",3044
"codex_720",812
"codex_721",13440
"codex_722",11536
"codex_723",13932
"codex_724",9678
"codex_725",11696
"codex_726",17164
"codex_727",10548
"codex_728",5817
"codex_729",3198
"codex_730",16656
"codex_731",13302
"codex_732",15224
"codex_733",6438
"codex_734",8631
"codex_735",15535
"codex_736",2705
"codex_737",4628
"codex_738",7369
"codex_739",9865
"codex_740",1200
"codex_741",11519
"codex_742",12015
"codex_743",13058
"codex_744",2759
"codex_745",14906
"codex_746",5442
"codex_747",12014
"codex_748",13987
"codex_749",6597
"codex_750",4345
"codex_751",6767
"codex_752",13690
"codex_753",14932
"codex_754",5755
"codex_755",1081
"codex_756",10321
"codex_757",8176
"codex_758",912
"codex_759",11591
"codex_760",12599
"codex_761",3086
"codex_762",10168
"codex_763",14052
"codex_764",3890
"codex_765",2582
"codex_766",1693
"codex_767",2897
"codex_768",3072
"codex_769",20192
"codex_770",13568
"codex_771",1956
"codex_772",8017
"codex_773",917
"codex_774",1131
"codex_775",6912
"codex_776",13212
"codex_777",3407
"codex_778",8754
"codex_779",12135
"codex_780",11611
"codex_781",6896
"codex_782",13593
"codex_783",5368
"codex_784",8454
"codex_785",10264
"codex_786",883
"codex_787",10647
"codex_788",5190
"codex_789",21998
"codex_790",6001
"codex_791",23857
"codex_792",8781
"codex_793",7675
"codex_794",24000
"codex_795",1963
"codex_796",11468
"codex_797",3932
"codex_798",14457
"codex_799",5831
"codex_800",17154
"codex_801",4206
"codex_802",11918
"codex_803",9263
"codex_804",12236
"codex_805",2215
"codex_806",7798
"codex_807",10855
"codex_808",6981
"codex_809",13134
"codex_810",11954
"codex_811",15408
"codex_812",12013
"codex_813",371
"codex_814",45
"codex_815",11008
"codex_816",6406
"codex_817",9757
"codex_818",12978
"codex_819",3260
"codex_820",10845
"codex_821",8646
"codex_822",28606
"codex_823",1975
"codex_824",9519
"codex_825",11277
"codex_826",12982
"codex_827",13909
"codex_828",12371
"codex_829",3342
"codex_830",13494
"codex_831",7200
"codex_832",6493
"codex_833",11349
"codex_834",12465
"codex_835",11745
"codex_836",7902
"codex_837",8037
"codex_838",9716
"codex_839",1085
"codex_840",5173
"codex_841",11690
"codex_842",15654
"codex_843",8137
"codex_844",14268
"codex_845",12162
"codex_846",11147
"codex_847",1548
"codex_848",6804
"codex_849",7629
"codex_850",2886
"codex_851",7258
"codex_852",9457
"codex_853",13129
"codex_854",3696
"codex_855",8828
"codex_856",17500
"codex_857",3202
"codex_858",3568
"codex_859",3952
"codex_860",4867
"codex_861",15244
"codex_862",9681
"codex_863",10931
"codex_864",8986
"codex_865",17118
"codex_866",13928
"codex_867",12761
"codex_868",8203
"codex_869",2208
"codex_870",11868
"codex_871",10043
"codex_872",20083
"codex_873",5143
"codex_874",11094
"codex_875",12066
"codex_876",1642
"codex_877",7005
"codex_878",10028
"codex_879",6007
"codex_880",3843
"codex_881",6642
"codex_882",13010
"codex_883",11454
"codex_884",12485
"codex_885",4037
"codex_886",5387
"codex_887",12997
"codex_888",14055
"codex_889",11397
"codex_890",9581
"codex_891",10318
"codex_892",12079
"codex_893",10484
"codex_894",9864
"codex_895",14873
"codex_896",8836
"codex_897",12644
"codex_898",11980
"codex_899",7561
"codex_900",8152
"codex_901",13220
"codex_902",14358
"codex_903",2046
"codex_904",10563
"codex_905",12663
"codex_906",6016
"codex_907",9118
"codex_908",11684
"codex_909",11575
"codex_910",10653
"codex_911",6293
"codex_912",3703
"codex_913",12237
"codex_914",9958
"codex_915",11211
"codex_916",8250
"codex_917",6885
"codex_918",5681
"codex_919",4424
"codex_920",5510
"codex_921",2227
"codex_922",5895
"codex_923",7847
"codex_924",4593
"codex_925",10962
"codex_926",8641
"codex_927",4910
"codex_928",13654
"codex_929",13414
"codex_930",2543
"codex_931",9175
"codex_932",11900
"codex_933",3819
"codex_934",11642
"codex_935",13741
"codex_936",5996
"codex_937",20096
"codex_938",2486
"codex_939",8864
"codex_940",11873
"codex_941",12353
"codex_942",3606
"codex_943",12920
"codex_944",5480
"codex_945",2237
"codex_946",15759
"codex_947",8356
"codex_948",7082
"codex_949",14291
"codex_950",11329
"codex_951",13077
"codex_952",1519
"codex_953",9253
"codex_954",6861
"codex_955",12137
"codex_956",10064
"codex_957",4788
"codex_958",4378
"codex_959",13900
"codex_960",2702
"codex_961",6008
"codex_962",6731
"codex_963",4725
"codex_964",883
"codex_965",10304
"codex_966",6340
"codex_967",10786
"codex_968",903
"codex_969",3928
"codex_970",10069
"codex_971",13126
"codex_972",6534
"codex_973",11701
"codex_974",5429
"codex_975",4467
"codex_976",9878
"codex_977",3270
"codex_978",1558
"codex_979",9175
"codex_980",8799
"codex_981",13182
"codex_982",8822
"codex_983",10039
"codex_984",1433
"codex_985",8906
"codex_986",4043
"codex_987",13540
"codex_988",14780
"codex_989",7478
"codex_990",9951
"codex_991",6096
"codex_992",6485
"codex_993",12476
"codex_994",13728
"codex_995",8143
"codex_996",2164
"codex_997",2858
"codex_998",5293
"codex_999",11707
"codex_1000",10300
"codex_1001",9281
"codex_1002",783
"codex_1003",453
"codex_1004",7809
"codex_1005",10555
"codex_1006",11765
"codex_1007",6155
"codex_1008",12140
"codex_1009",8333
"codex_1010",8266
"codex_1011",4498
"codex_1012",7849
"codex_1013",3815
"codex_1014",9318
"codex_1015",12797
"codex_1016",5348
"codex_1017",3204
"codex_1018",9331
"codex_1019",7937
"codex_1020",9432
"codex_1021",8954
"codex_1022",9450
"codex_1023",6542
"codex_1024",10731
"codex_1025",4758
"codex_1026",13019
"codex_1027",11358
"codex_1028",6907
"codex_1029",16600
"codex_1030",12713
"codex_1031",11979
"codex_1032",12396
"codex_1033",2975
"codex_1034",2569
"codex_1035",10338
"codex_1036",1642
"codex_1037",7684
"codex_1038",1941
"codex_1039",726
"codex_1040",2492
"codex_1041",12352
"codex_1042",6392
"codex_1043",11698
"codex_1044",4921
"codex_1045",5974
"codex_1046",4222
"codex_1047",5471
"codex_1048",6363
"codex_1049",13195
"codex_1050",5989
