"","x","y","z"
"codex_266",320,654,10
"codex_267",305,594,11
"codex_268",324,373,11
"codex_269",312,858,8
"codex_270",314,800,7
"codex_271",315,909,9
"codex_272",332,406,10
"codex_273",343,295,10
"codex_274",334,511,7
"codex_275",324,453,10
"codex_276",342,447,6
"codex_277",352,21,10
"codex_278",333,354,11
"codex_279",318,728,9
"codex_280",345,481,6
"codex_281",327,706,9
"codex_282",348,344,9
"codex_283",336,777,9
"codex_284",355,228,7
"codex_285",342,677,9
"codex_286",356,68,8
"codex_287",341,895,10
"codex_288",352,161,8
"codex_289",305,965,7
"codex_290",340,547,10
"codex_291",348,596,10
"codex_292",342,947,7
"codex_293",353,379,9
"codex_294",354,389,10
"codex_295",361,269,8
"codex_296",360,124,10
"codex_297",350,973,8
"codex_298",372,7,11
"codex_299",349,651,7
"codex_300",351,853,9
"codex_301",340,743,10
"codex_302",365,335,9
"codex_303",369,488,11
"codex_304",369,688,11
"codex_305",382,235,11
"codex_306",382,283,7
"codex_307",388,107,8
"codex_308",363,425,9
"codex_309",379,251,9
"codex_310",363,457,9
"codex_311",387,152,10
"codex_312",381,391,10
"codex_313",390,57,9
"codex_314",373,310,7
"codex_315",370,722,9
"codex_316",363,800,8
"codex_317",375,535,10
"codex_318",394,8,10
"codex_319",379,418,7
"codex_320",371,876,9
"codex_321",374,893,9
"codex_322",399,158,10
"codex_323",380,559,7
"codex_324",394,208,6
"codex_325",380,585,9
"codex_326",390,432,7
"codex_327",394,367,10
"codex_328",363,938,10
"codex_329",397,494,10
"codex_330",387,452,7
"codex_331",391,463,10
"codex_332",403,236,7
"codex_333",389,179,6
"codex_334",409,103,9
"codex_335",375,858,7
"codex_336",403,429,11
"codex_337",375,962,10
"codex_338",410,12,8
"codex_339",401,816,7
"codex_340",379,776,11
"codex_341",404,275,10
"codex_342",393,943,10
"codex_343",400,847,7
"codex_344",400,892,10
"codex_345",389,640,9
"codex_346",409,405,9
"codex_347",416,52,10
"codex_348",407,303,10
"codex_349",408,562,10
"codex_350",413,362,8
"codex_351",408,688,10
"codex_352",398,715,10
"codex_353",398,744,6
"codex_354",424,128,7
"codex_355",406,535,11
"codex_356",412,216,10
"codex_357",423,226,7
"codex_358",417,461,10
"codex_359",402,772,9
"codex_360",411,628,10
"codex_361",416,600,10
"codex_362",411,743,10
"codex_363",423,493,10
"codex_364",405,833,10
"codex_365",430,385,10
"codex_366",426,515,11
"codex_367",436,235,6
"codex_368",434,292,10
"codex_369",423,865,9
"codex_370",446,56,9
"codex_371",427,801,8
"codex_372",444,209,9
"codex_373",450,152,8
"codex_374",436,277,9
"codex_375",445,337,9
"codex_376",433,471,6
"codex_377",426,724,11
"codex_378",446,482,10
"codex_379",458,237,10
"codex_380",426,939,8
"codex_381",446,739,8
"codex_382",438,845,7
"codex_383",463,71,11
"codex_384",438,914,9
"codex_385",451,518,7
"codex_386",454,681,9
"codex_387",437,704,10
"codex_388",448,588,9
"codex_389",461,100,9
"codex_390",464,446,8
"codex_391",464,498,9
"codex_392",454,710,7
"codex_393",467,270,7
"codex_394",463,372,9
"codex_395",444,632,8
"codex_396",473,78,10
"codex_397",460,619,11
"codex_398",462,667,9
"codex_399",464,744,9
"codex_400",458,815,8
"codex_401",472,395,9
"codex_402",472,533,11
"codex_403",471,314,11
"codex_404",477,348,6
"codex_405",472,592,11
"codex_406",473,174,11
"codex_407",460,767,7
"codex_408",483,55,7
"codex_409",485,383,7
"codex_410",478,211,11
"codex_411",463,974,10
"codex_412",485,416,8
"codex_413",478,328,9
"codex_414",473,549,11
"codex_415",466,705,11
"codex_416",465,922,9
"codex_417",500,63,10
"codex_418",499,93,11
"codex_419",503,234,10
"codex_420",494,288,9
"codex_421",480,747,6
"codex_422",478,880,10
"codex_423",484,985,10
"codex_424",488,766,11
"codex_425",501,169,9
"codex_426",494,685,9
"codex_427",507,355,10
"codex_428",488,831,10
"codex_429",505,257,9
"codex_430",498,619,10
"codex_431",493,856,11
"codex_432",510,430,8
"codex_433",509,383,8
"codex_434",514,116,8
"codex_435",498,881,9
"codex_436",491,704,7
"codex_437",493,943,9
"codex_438",497,467,10
"codex_439",502,539,8
"codex_440",502,550,10
"codex_441",522,90,10
"codex_442",492,798,8
"codex_443",502,727,11
"codex_444",499,917,10
"codex_445",522,194,10
"codex_446",486,726,10
"codex_447",512,463,7
"codex_448",518,301,10
"codex_449",513,575,10
"codex_450",508,609,7
"codex_451",521,487,7
"codex_452",515,633,7
"codex_453",517,795,10
"codex_454",536,212,7
"codex_455",518,692,9
"codex_456",533,266,11
"codex_457",530,393,8
"codex_458",524,464,9
"codex_459",538,355,10
"codex_460",519,977,9
"codex_461",533,537,8
"codex_462",549,58,10
"codex_463",535,325,9
"codex_464",531,718,10
"codex_465",550,21,9
"codex_466",533,621,11
"codex_467",531,955,10
"codex_468",551,91,9
"codex_469",541,874,10
"codex_470",551,259,11
"codex_471",539,696,11
"codex_472",535,753,9
"codex_473",547,153,9
"codex_474",539,793,8
"codex_475",557,111,11
"codex_476",553,424,10
"codex_477",559,197,11
"codex_478",551,577,9
"codex_479",564,141,10
"codex_480",550,288,10
"codex_481",542,845,8
"codex_482",557,468,9
"codex_483",554,666,10
"codex_484",564,219,8
"codex_485",550,707,8
"codex_486",576,113,11
"codex_487",555,623,11
"codex_488",562,728,10
"codex_489",544,969,7
"codex_490",573,317,11
"codex_491",565,528,10
"codex_492",565,557,11
"codex_493",576,438,7
"codex_494",577,290,10
"codex_495",580,504,7
"codex_496",579,186,8
"codex_497",578,354,11
"codex_498",576,546,7
"codex_499",589,8,9
"codex_500",584,387,9
"codex_501",583,258,8
"codex_502",569,780,8
"codex_503",591,186,11
"codex_504",569,884,10
"codex_505",569,956,9
"codex_506",566,992,6
"codex_507",601,220,8
"codex_508",589,582,7
"codex_509",602,259,7
"codex_510",589,739,10
"codex_511",592,638,8
"codex_512",592,676,6
"codex_513",588,689,9
"codex_514",607,308,10
"codex_515",591,539,9
"codex_516",591,607,11
"codex_517",600,412,7
"codex_518",596,848,9
"codex_519",615,141,10
"codex_520",614,368,11
"codex_521",615,232,8
"codex_522",603,451,9
"codex_523",609,473,9
"codex_524",608,334,11
"codex_525",603,763,7
"codex_526",602,968,9
"codex_527",593,950,11
"codex_528",583,917,9
"codex_529",606,703,9
"codex_530",623,291,7
"codex_531",597,933,6
"codex_532",617,767,7
"codex_533",614,650,11
"codex_534",628,384,10
"codex_535",615,840,7
"codex_536",613,798,9
"codex_537",631,330,11
"codex_538",627,719,10
"codex_539",619,577,10
"codex_540",643,139,8
"codex_541",635,492,9
"codex_542",641,152,9
"codex_543",638,118,10
"codex_544",641,455,6
"codex_545",634,854,8
"codex_546",630,689,7
"codex_547",629,553,8
"codex_548",638,513,7
"codex_549",625,950,9
"codex_550",650,786,6
"codex_551",652,341,8
"codex_552",648,751,9
"codex_553",630,823,11
"codex_554",638,706,10
"codex_555",637,719,8
"codex_556",640,878,9
"codex_557",642,625,8
"codex_558",665,202,10
"codex_559",659,393,7
"codex_560",647,918,7
"codex_561",663,450,10
"codex_562",660,620,7
"codex_563",659,683,7
"codex_564",675,175,11
"codex_565",664,556,9
"codex_566",676,306,9
"codex_567",668,464,6
"codex_568",675,423,11
"codex_569",655,656,10
"codex_570",673,580,8
"codex_571",673,742,8
"codex_572",680,155,10
"codex_573",674,526,8
"codex_574",676,506,9
"codex_575",685,357,8
"codex_576",653,968,8
"codex_577",680,369,11
"codex_578",669,814,9
"codex_579",679,481,9
"codex_580",672,732,10
"codex_581",684,715,7
"codex_582",665,866,7
"codex_583",687,238,10
"codex_584",696,129,10
"codex_585",683,617,7
"codex_586",696,280,9
"codex_587",686,841,11
"codex_588",682,322,8
"codex_589",677,658,9
